input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.tmater.2023.100015	doi:10.1016/j.tmater.2023.100015	doi:10.1016/j.tmater.2023.100015	AFlzOIJq
doi:10.5281/zenodo.15607944	doi:10.5281/zenodo.15607944	doi:10.5281/zenodo.15607944	H6XCd3xt
https://eprints.soton.ac.uk/403913	https://eprints.soton.ac.uk/403913	url:https://eprints.soton.ac.uk/403913	pQ6Wbz73
url:https://docs.dask.org/en/stable	url:https://docs.dask.org/en/stable	url:https://docs.dask.org/en/stable	XiaoRBMn
url:https://github.com/saalfeldlab/n5-ij	url:https://github.com/saalfeldlab/n5-ij	url:https://github.com/saalfeldlab/n5-ij	fYJW62aO
doi:10.1038/nmeth.2019	doi:10.1038/nmeth.2019	doi:10.1038/nmeth.2019	Fkmz2cmo
url:https://www.slicer.org	url:https://www.slicer.org	url:https://www.slicer.org	2wCiF0bw
doidoi:10.1016/j.mri.2012.05.001	doidoi:10.1016/j.mri.2012.05.001	doidoi:10.1016/j.mri.2012.05.001	1DCgO2bA7
url:https://dragonfly.comet.tech	url:https://dragonfly.comet.tech	url:https://dragonfly.comet.tech	UclosTg9
doi:10.3789/ansi.niso.z39.104-2022	doi:10.3789/ansi.niso.z39.104-2022	doi:10.3789/ansi.niso.z39.104-2022	11ofsO2hq
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
